city,gender,school_name,school_type,caste_community,religion,quota,accommodation,source,parents_thought,reason_for_joining,student_goal,cutoff_12th,geographic_segment,academic_segment,socioeconomic_segment,distance_category,marketing_channel_type,parents_sentiment
Erode,Female,Sacred Heart HSS Erode,Private Matriculation,OC,Christian,Management,Hostel,School Counselor,Strong industry connections and practical learning approach attracted us to BIT.,Interest,Start Own Business,170,Local,Below Average,Middle,Very Close,Referral,Neutral
Kochi,Female,ABC School Kochi,Private Matriculation,OC,Christian,Government Counselling,Hostel,School Counselor,The faculty qualifications and research opportunities impressed us during the campus visit.,Counselling,Government Job,196,Regional,High Performer,Middle,Distant,Referral,Positive
Tiruppur,Male,Palladam HSS,Private CBSE,MBC,Christian,Government Counselling,Day Scholar,Alumni Reference,"Being close to home, day scholar option works perfectly for our family.",Counselling,Government Job,196,Local,High Performer,Mixed,Close,Other,Positive
Coimbatore,Male,Suguna HSS,Private CBSE,SC,Hindu,Management,Day Scholar,Campus Visit,Good value for money considering the quality of engineering programs offered.,Counselling,High Placement,186,Local,Average,Premium,Close,Other,Positive
Coimbatore,Male,Sri Ramakrishna Mission School,Private CBSE,BCM,Muslim,Government Counselling,Day Scholar,Campus Visit,The faculty qualifications and research opportunities impressed us during the campus visit.,Counselling,High Placement,191,Local,High Performer,Mixed,Close,Other,Positive
Erode,Male,Nehru Memorial HSS,Private CBSE,OC,Hindu,Government Counselling,Hostel,Campus Visit,We were initially worried about hostel life but the warden system reassured us.,Counselling,High Placement,185,Local,Average,Mixed,Very Close,Other,Concerned
Erode,Male,Municipal HSS Erode,Government,MBC,Hindu,Management,Hostel,Friend Family Referral,The academic reputation and placement statistics convinced us to choose BIT.,Interest,Start Own Business,178,Local,Below Average,Budget,Very Close,Referral,Positive
Erode,Female,Periyar HSS Erode,Private CBSE,SC,Christian,Management,Hostel,Campus Visit,Strong industry connections and practical learning approach attracted us to BIT.,Interest,Government Job,193,Local,High Performer,Premium,Very Close,Other,Neutral
Madurai,Male,Government HSS Madurai,Government,MBC,Hindu,Government Counselling,Hostel,Campus Visit,We were initially worried about hostel life but the warden system reassured us.,Counselling,Higher Studies Masters,196,Regional,High Performer,Budget,Distant,Other,Concerned
Trichy,Female,ABC School Trichy,Private Matriculation,BCM,Muslim,Management,Day Scholar,TV Advertisement,Strong industry connections and practical learning approach attracted us to BIT.,Interest,Higher Studies Masters,181,Regional,Average,Middle,Distant,Traditional,Neutral
Namakkal,Female,ABC School Namakkal,Private Matriculation,OC,Christian,Management,Day Scholar,Education Fair,Strong industry connections and practical learning approach attracted us to BIT.,Interest,High Placement,189,Regional,Average,Middle,Distant,Traditional,Neutral
Erode,Male,Sacred Heart HSS Erode,Private Matriculation,SC,Christian,Management,Day Scholar,Social Media Ad,"Being close to home, day scholar option works perfectly for our family.",Interest,High Placement,185,Local,Average,Middle,Very Close,Digital,Positive
Chennai,Female,Lady Andal School,Private CBSE,SC,Christian,Management,Hostel,Campus Visit,Erode location provides good balance of facilities without big city distractions.,Interest,Higher Studies Masters,193,Metro,High Performer,Premium,Distant,Other,Positive
Dindigul,Female,Dindigul Matriculation School,Private Matriculation,OC,Christian,Government Counselling,Day Scholar,School Counselor,The campus environment seems conducive for focused technical studies.,Interest,Higher Studies Masters,187,Regional,Average,Middle,Distant,Referral,Neutral
Coimbatore,Male,Sowripalayam HSS,Private CBSE,BC,Hindu,Management,Day Scholar,College Website,The fees were high but the infrastructure and faculty quality convinced us.,Interest,High Placement,182,Local,Average,Premium,Close,Digital,Positive
Thanjavur,Female,Thanjavur Public School,Private Matriculation,BC,Hindu,Management,Hostel,Alumni Reference,Alumni working in good companies gave positive feedback about the college.,Interest,Higher Studies Masters,185,Regional,Average,Middle,Distant,Other,Positive
Cuddalore,Female,Municipal HSS Cuddalore,Government,BC,Christian,Government Counselling,Hostel,Education Fair,We heard about BIT through education fair and the reviews were positive.,Interest,Higher Studies Masters,187,Regional,Average,Budget,Distant,Traditional,Neutral
Coimbatore,Male,XYZ International School Coimbatore,Private CBSE,BC,Christian,Management,Hostel,Newspaper Ad,Good hostel facilities and the mess food quality during our visit was satisfactory.,Interest,High Placement,173,Local,Below Average,Premium,Close,Other,Positive
Madurai,Male,Sourashtra HSS,Private CBSE,BCM,Muslim,Government Counselling,Day Scholar,Social Media Ad,The campus environment seems conducive for focused technical studies.,Counselling,Become an Entrepreneur,186,Regional,Average,Mixed,Distant,Digital,Neutral
Erode,Male,Little Angels School,Private Matriculation,SC,Hindu,Management,Day Scholar,College Website,The academic reputation and placement statistics convinced us to choose BIT.,Interest,Become an Entrepreneur,172,Local,Below Average,Middle,Very Close,Digital,Positive
Tiruppur,Male,XYZ HSS Tiruppur,Private CBSE,BC,Christian,Government Counselling,Day Scholar,Education Fair,"Being close to home, day scholar option works perfectly for our family.",Counselling,Higher Studies Masters,187,Local,Average,Mixed,Close,Traditional,Positive
Coimbatore,Male,Suguna HSS,Private CBSE,BCM,Muslim,Government Counselling,Hostel,Newspaper Ad,Strong industry connections and practical learning approach attracted us to BIT.,Counselling,Higher Studies Masters,189,Local,Average,Mixed,Close,Other,Neutral
Salem,Male,Sankari HSS,Private Matriculation,SC,Christian,Management,Day Scholar,Alumni Reference,Strong industry connections and practical learning approach attracted us to BIT.,Counselling,High Placement,182,Local,Average,Middle,Close,Other,Neutral
Tiruppur,Female,JKL CBSE Tiruppur,Private CBSE,OC,Hindu,Management,Hostel,Campus Visit,The campus environment seems safe and conducive for focused studies.,Interest,Higher Studies Masters,182,Local,Average,Premium,Close,Other,Neutral
Erode,Male,Sri Ramakrishna Mission School Erode,Private CBSE,BCM,Muslim,Management,Day Scholar,Social Media Ad,Erode location provides good balance of facilities without big city distractions.,Interest,Government Job,191,Local,High Performer,Premium,Very Close,Digital,Positive
Dindigul,Female,GHI Matriculation Dindigul,Private Matriculation,BC,Christian,Management,Hostel,Google Search,The campus environment seems conducive for focused technical studies.,Interest,Start Own Business,175,Regional,Below Average,Middle,Distant,Digital,Neutral
Erode,Male,Sacred Heart HSS Erode,Private CBSE,BC,Hindu,Government Counselling,Day Scholar,Education Fair,The convenience of staying at home while getting quality education is ideal.,Interest,High Placement,184,Local,Average,Mixed,Very Close,Traditional,Neutral
Karur,Male,Karur Public School,Private Matriculation,OC,Christian,Management,Day Scholar,Friend Family Referral,Infrastructure and lab facilities are much better than other colleges we visited.,Interest,Become an Entrepreneur,178,Local,Below Average,Middle,Distant,Referral,Neutral
Erode,Male,Sacred Heart HSS Erode,Private CBSE,BC,Hindu,Management,Hostel,Google Search,The hostel option works well for our family situation.,Counselling,Higher Studies Masters,193,Local,High Performer,Premium,Very Close,Digital,Neutral
Erode,Male,Erode Public School,Private CBSE,OC,Christian,Management,Day Scholar,Friend Family Referral,We decided to invest in management quota considering the ROI through placements.,Interest,Government Job,193,Local,High Performer,Premium,Very Close,Referral,Neutral
Erode,Female,Kongu Vellalar HSS,Private CBSE,MBC,Hindu,Government Counselling,Day Scholar,Google Search,The academic reputation and placement statistics convinced us to choose BIT.,Counselling,Government Job,195,Local,High Performer,Mixed,Very Close,Digital,Positive
Erode,Male,Little Angels School,Private Matriculation,BC,Christian,Management,Day Scholar,Alumni Reference,Strong industry connections and practical learning approach attracted us to BIT.,Interest,Government Job,190,Local,Average,Middle,Very Close,Other,Neutral
Kochi,Male,GHI Matriculation Kochi,Private Matriculation,BC,Hindu,Government Counselling,Day Scholar,School Counselor,No hostel expenses and we can monitor the studies closely from home.,Counselling,Higher Studies Masters,193,Regional,High Performer,Middle,Distant,Referral,Neutral
Erode,Male,ABC Matriculation School Erode,Private Matriculation,SC,Hindu,Management,Day Scholar,Friend Family Referral,Good value for money considering the quality of engineering programs offered.,Interest,Start Own Business,177,Local,Below Average,Middle,Very Close,Referral,Positive
Tiruppur,Male,JKL CBSE Tiruppur,Private CBSE,SC,Hindu,Government Counselling,Day Scholar,TV Advertisement,Good value for money considering the quality of engineering programs offered.,Counselling,Higher Studies Masters,183,Local,Average,Mixed,Close,Traditional,Positive
Tiruppur,Female,MNO International Tiruppur,Private CBSE,OC,Christian,Management,Day Scholar,Campus Visit,"Being close to home, day scholar option works perfectly for our family.",Counselling,High Placement,187,Local,Average,Premium,Close,Other,Positive
Madurai,Male,American College HSS,Private Matriculation,OC,Hindu,Government Counselling,Day Scholar,Education Fair,The academic reputation and placement statistics convinced us to choose BIT.,Counselling,Become an Entrepreneur,182,Regional,Average,Middle,Distant,Traditional,Positive
Erode,Male,St. Josephs HSS Erode,Private CBSE,MBC,Hindu,Government Counselling,Day Scholar,Google Search,Alumni working in good companies gave positive feedback about the college.,Interest,Government Job,190,Local,Average,Mixed,Very Close,Digital,Positive
Coimbatore,Male,Suguna HSS,Private Matriculation,BCM,Muslim,Management,Day Scholar,Newspaper Ad,"Being close to home, day scholar option works perfectly for our family.",Counselling,Become an Entrepreneur,183,Local,Average,Middle,Close,Other,Positive
Coimbatore,Male,Lisieux HSS,Private Matriculation,OC,Christian,Government Counselling,Hostel,College Website,The hostel option works well for our family situation.,Counselling,Become an Entrepreneur,184,Local,Average,Middle,Close,Digital,Neutral
Coimbatore,Female,Lisieux HSS,Private Matriculation,MBC,Christian,Management,Day Scholar,School Counselor,Strong industry connections and practical learning approach attracted us to BIT.,Interest,Start Own Business,171,Local,Below Average,Middle,Close,Referral,Neutral
Salem,Male,Mettur HSS,Private Matriculation,BC,Christian,Management,Day Scholar,School Counselor,The fees were high but the infrastructure and faculty quality convinced us.,Counselling,High Placement,191,Local,High Performer,Middle,Close,Referral,Positive
Erode,Male,Kongu Arts HSS,Private Matriculation,MBC,Hindu,Government Counselling,Day Scholar,Alumni Reference,The faculty qualifications and research opportunities impressed us during the campus visit.,Counselling,Higher Studies Masters,186,Local,Average,Middle,Very Close,Other,Positive
Namakkal,Female,Government HSS Namakkal,Government,SC,Christian,Government Counselling,Day Scholar,School Counselor,The campus environment seems conducive for focused technical studies.,Counselling,High Placement,193,Regional,High Performer,Budget,Distant,Referral,Neutral
Karur,Male,GHI Matriculation Karur,Private CBSE,OC,Hindu,Management,Hostel,Campus Visit,The campus environment seems safe and conducive for focused studies.,Interest,Become an Entrepreneur,179,Local,Below Average,Premium,Distant,Other,Neutral
Kochi,Male,Kochi Matriculation School,Private Matriculation,BC,Christian,Management,Hostel,College Website,Strong industry connections and practical learning approach attracted us to BIT.,Counselling,Higher Studies Masters,192,Regional,High Performer,Middle,Distant,Digital,Neutral
Dindigul,Female,GHI Matriculation Dindigul,Private Matriculation,MBC,Hindu,Management,Day Scholar,TV Advertisement,Erode location provides good balance of facilities without big city distractions.,Counselling,High Placement,184,Regional,Average,Middle,Distant,Traditional,Positive
Salem,Male,Montfort HSS Salem,Private Matriculation,BC,Christian,Government Counselling,Day Scholar,Newspaper Ad,The convenience of staying at home while getting quality education is ideal.,Interest,High Placement,193,Local,High Performer,Middle,Close,Other,Neutral
Trichy,Male,Government HSS Trichy,Government,MBC,Christian,Government Counselling,Hostel,TV Advertisement,The academic reputation and placement statistics convinced us to choose BIT.,Counselling,High Placement,195,Regional,High Performer,Budget,Distant,Traditional,Positive
Namakkal,Female,DEF HSS Namakkal,Private CBSE,SC,Christian,Management,Day Scholar,College Website,The campus environment seems conducive for focused technical studies.,Interest,Start Own Business,171,Regional,Below Average,Premium,Distant,Digital,Neutral
Coimbatore,Male,Lisieux HSS,Private Matriculation,SC,Hindu,Government Counselling,Hostel,Social Media Ad,The campus environment seems safe and conducive for focused studies.,Interest,Higher Studies Masters,190,Local,Average,Middle,Close,Digital,Neutral
Namakkal,Female,Komarapalayam HSS,Private CBSE,BC,Christian,Management,Hostel,Campus Visit,Alumni working in good companies gave positive feedback about the college.,Interest,Become an Entrepreneur,173,Regional,Below Average,Premium,Distant,Other,Positive
Tiruppur,Female,DEF Matriculation School Tiruppur,Private CBSE,MBC,Hindu,Management,Day Scholar,Campus Visit,The academic reputation and placement statistics convinced us to choose BIT.,Interest,Become an Entrepreneur,189,Local,Average,Premium,Close,Other,Positive
Bangalore,Female,Municipal HSS Bangalore,Government,BC,Hindu,Government Counselling,Hostel,Google Search,Good hostel facilities and the mess food quality during our visit was satisfactory.,Counselling,Higher Studies Masters,191,Metro,High Performer,Budget,Distant,Digital,Positive
Namakkal,Male,Government HSS Namakkal,Government,MBC,Hindu,Government Counselling,Day Scholar,Friend Family Referral,Strong industry connections and practical learning approach attracted us to BIT.,Counselling,High Placement,190,Regional,Average,Budget,Distant,Referral,Neutral
Salem,Male,Municipal HSS Salem,Government,BCM,Muslim,Government Counselling,Day Scholar,School Counselor,We heard about BIT through school counselor and the reviews were positive.,Counselling,Higher Studies Masters,196,Local,High Performer,Budget,Close,Referral,Neutral
Coimbatore,Male,Stanes HSS,Private Matriculation,MBC,Christian,Management,Hostel,Social Media Ad,We were initially worried about hostel life but the warden system reassured us.,Interest,Higher Studies Masters,186,Local,Average,Middle,Close,Digital,Concerned
Coimbatore,Female,Lisieux HSS,Private CBSE,MBC,Hindu,Management,Day Scholar,College Website,The day scholar option works well for our family situation.,Counselling,High Placement,184,Local,Average,Premium,Close,Digital,Neutral
Madurai,Male,ABC School Madurai,Private CBSE,MBC,Christian,Management,Hostel,Campus Visit,We heard about BIT through campus visit and the reviews were positive.,Interest,High Placement,185,Regional,Average,Premium,Distant,Other,Neutral
Tiruppur,Male,Dharapuram HSS,Private CBSE,BC,Christian,Government Counselling,Day Scholar,Google Search,The convenience of staying at home while getting quality education is ideal.,Counselling,High Placement,197,Local,High Performer,Mixed,Close,Digital,Neutral
Dindigul,Female,DEF HSS Dindigul,Private Matriculation,OC,Christian,Management,Hostel,Google Search,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,Become an Entrepreneur,174,Regional,Below Average,Middle,Distant,Digital,Positive
Cuddalore,Female,Government HSS Cuddalore,Government,SC,Hindu,Government Counselling,Hostel,Education Fair,The hostel option works well for our family situation.,Counselling,Government Job,196,Regional,High Performer,Budget,Distant,Traditional,Neutral
Erode,Male,Gandhi HSS Erode,Private CBSE,BCM,Muslim,Management,Day Scholar,Friend Family Referral,The management fee was a stretch but the placement records justify the investment.,Interest,High Placement,191,Local,High Performer,Premium,Very Close,Referral,Neutral
Kochi,Male,Municipal HSS Kochi,Government,BC,Hindu,Government Counselling,Day Scholar,Social Media Ad,Infrastructure and lab facilities are much better than other colleges we visited.,Counselling,High Placement,200,Regional,High Performer,Budget,Distant,Digital,Neutral
Tiruppur,Female,MNO International Tiruppur,Private CBSE,MBC,Christian,Government Counselling,Day Scholar,Google Search,We heard about BIT through google search and the reviews were positive.,Counselling,Higher Studies Masters,196,Local,High Performer,Mixed,Close,Digital,Neutral
Tiruppur,Female,Kumaran Schools,Private Matriculation,OC,Christian,Management,Day Scholar,Education Fair,"Being close to home, day scholar option works perfectly for our family.",Interest,Become an Entrepreneur,175,Local,Below Average,Middle,Close,Traditional,Positive
Coimbatore,Male,KCG HSS,Private Matriculation,OC,Hindu,Management,Day Scholar,College Website,We heard about BIT through college website and the reviews were positive.,Counselling,Government Job,194,Local,High Performer,Middle,Close,Digital,Neutral
Coimbatore,Male,Sri Krishna HSS,Private Matriculation,OC,Hindu,Management,Day Scholar,Education Fair,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,Higher Studies Masters,186,Local,Average,Middle,Close,Traditional,Positive
Coimbatore,Female,Sowripalayam HSS,Private Matriculation,BC,Christian,Management,Day Scholar,TV Advertisement,The fees were high but the infrastructure and faculty quality convinced us.,Interest,Become an Entrepreneur,177,Local,Below Average,Middle,Close,Traditional,Positive
Salem,Male,Montfort HSS Salem,Private Matriculation,BC,Hindu,Management,Day Scholar,Campus Visit,Infrastructure and lab facilities are much better than other colleges we visited.,Counselling,Become an Entrepreneur,179,Local,Below Average,Middle,Close,Other,Neutral
Namakkal,Male,Sri Vidya Mandir Namakkal,Private Matriculation,BC,Hindu,Government Counselling,Hostel,Alumni Reference,We heard about BIT through alumni reference and the reviews were positive.,Counselling,Become an Entrepreneur,187,Regional,Average,Middle,Distant,Other,Neutral
Erode,Male,Municipal HSS Erode,Government,SC,Hindu,Government Counselling,Day Scholar,Friend Family Referral,No hostel expenses and we can monitor the studies closely from home.,Counselling,Government Job,199,Local,High Performer,Budget,Very Close,Referral,Neutral
Namakkal,Female,Sri Vidya Mandir Namakkal,Private CBSE,BC,Hindu,Management,Hostel,School Counselor,Strong industry connections and practical learning approach attracted us to BIT.,Interest,High Placement,177,Regional,Below Average,Premium,Distant,Referral,Neutral
Erode,Female,DEF CBSE School Erode,Private CBSE,MBC,Hindu,Government Counselling,Day Scholar,Social Media Ad,Good value for money considering the quality of engineering programs offered.,Counselling,Higher Studies Masters,194,Local,High Performer,Mixed,Very Close,Digital,Positive
Coimbatore,Male,Sri Ramakrishna Mission School,Private Matriculation,OC,Christian,Government Counselling,Day Scholar,Social Media Ad,The convenience of staying at home while getting quality education is ideal.,Counselling,Higher Studies Masters,180,Local,Below Average,Middle,Close,Digital,Neutral
Chennai,Male,Bharatiya Vidya Bhavan,Private Matriculation,OC,Christian,Management,Hostel,TV Advertisement,The campus environment seems conducive for focused technical studies.,Interest,Become an Entrepreneur,174,Metro,Below Average,Middle,Distant,Traditional,Neutral
Karur,Female,Government HSS Karur,Government,SC,Hindu,Government Counselling,Hostel,TV Advertisement,The academic reputation and placement statistics convinced us to choose BIT.,Counselling,High Placement,190,Local,Average,Budget,Distant,Traditional,Positive
Coimbatore,Female,XYZ International School Coimbatore,Private CBSE,SC,Hindu,Management,Day Scholar,Alumni Reference,The management fee was a stretch but the placement records justify the investment.,Interest,High Placement,177,Local,Below Average,Premium,Close,Other,Neutral
Chennai,Male,DAV School Chennai,Private Matriculation,MBC,Hindu,Management,Hostel,College Website,The academic reputation and placement statistics convinced us to choose BIT.,Counselling,Become an Entrepreneur,188,Metro,Average,Middle,Distant,Digital,Positive
Tiruppur,Male,GHI Public School Tiruppur,Private CBSE,BC,Christian,Management,Hostel,Campus Visit,Good value for money considering the quality of engineering programs offered.,Interest,Government Job,194,Local,High Performer,Premium,Close,Other,Positive
Salem,Female,Periyar University HSS,Private CBSE,BC,Christian,Government Counselling,Hostel,Google Search,We were initially worried about hostel life but the warden system reassured us.,Counselling,Become an Entrepreneur,188,Local,Average,Mixed,Close,Digital,Concerned
Coimbatore,Male,DAV School Coimbatore,Private CBSE,SC,Hindu,Management,Day Scholar,Alumni Reference,We heard about BIT through alumni reference and the reviews were positive.,Interest,Higher Studies Masters,188,Local,Average,Premium,Close,Other,Neutral
Erode,Male,Government HSS Erode,Government,OC,Hindu,Government Counselling,Day Scholar,Google Search,The campus environment seems conducive for focused technical studies.,Counselling,Higher Studies Masters,186,Local,Average,Budget,Very Close,Digital,Neutral
Namakkal,Female,Tiruchengode HSS,Private Matriculation,SC,Hindu,Government Counselling,Hostel,Social Media Ad,The hostel facilities looked good during our campus visit and safety seemed adequate.,Interest,High Placement,180,Regional,Below Average,Middle,Distant,Digital,Positive
Coimbatore,Male,KCG HSS,Private Matriculation,SC,Christian,Government Counselling,Day Scholar,Newspaper Ad,We heard about BIT through newspaper ad and the reviews were positive.,Interest,Government Job,198,Local,High Performer,Middle,Close,Other,Neutral
Namakkal,Male,Komarapalayam HSS,Private Matriculation,OC,Hindu,Government Counselling,Hostel,TV Advertisement,Good value for money considering the quality of engineering programs offered.,Counselling,Higher Studies Masters,195,Regional,High Performer,Middle,Distant,Traditional,Positive
Erode,Male,St. Josephs HSS Erode,Private Matriculation,BCM,Muslim,Management,Hostel,Google Search,We decided to invest in management quota considering the ROI through placements.,Interest,Higher Studies Masters,190,Local,Average,Middle,Very Close,Digital,Neutral
Madurai,Male,ABC School Madurai,Private CBSE,SC,Hindu,Management,Hostel,Campus Visit,We heard about BIT through campus visit and the reviews were positive.,Interest,Become an Entrepreneur,172,Regional,Below Average,Premium,Distant,Other,Neutral
Salem,Male,Anna University HSS Salem,Private Matriculation,BC,Christian,Government Counselling,Day Scholar,Education Fair,We heard about BIT through education fair and the reviews were positive.,Counselling,High Placement,192,Local,High Performer,Middle,Close,Traditional,Neutral
Coimbatore,Female,St. Michaels HSS,Private CBSE,SC,Christian,Management,Day Scholar,Education Fair,No hostel expenses and we can monitor the studies closely from home.,Counselling,Become an Entrepreneur,176,Local,Below Average,Premium,Close,Traditional,Neutral
Tiruppur,Female,JKL CBSE Tiruppur,Private CBSE,SC,Christian,Government Counselling,Day Scholar,College Website,The academic reputation and placement statistics convinced us to choose BIT.,Interest,Higher Studies Masters,197,Local,High Performer,Mixed,Close,Digital,Positive
Salem,Female,Sankari HSS,Private CBSE,MBC,Christian,Government Counselling,Hostel,Alumni Reference,Infrastructure and lab facilities are much better than other colleges we visited.,Interest,High Placement,188,Local,Average,Mixed,Close,Other,Neutral
Tiruppur,Male,St. Josephs HSS Tiruppur,Private Matriculation,BC,Christian,Government Counselling,Hostel,Education Fair,We were initially worried about hostel life but the warden system reassured us.,Interest,High Placement,184,Local,Average,Middle,Close,Traditional,Concerned
Coimbatore,Female,Maharishi Vidya Mandir,Private CBSE,SC,Christian,Government Counselling,Day Scholar,Friend Family Referral,Alumni working in good companies gave positive feedback about the college.,Counselling,Higher Studies Masters,189,Local,Average,Mixed,Close,Referral,Positive
Namakkal,Male,DEF HSS Namakkal,Private Matriculation,SC,Christian,Management,Hostel,Education Fair,The hostel option works well for our family situation.,Interest,High Placement,194,Regional,High Performer,Middle,Distant,Traditional,Neutral
Erode,Male,DEF CBSE School Erode,Private CBSE,MBC,Christian,Government Counselling,Hostel,TV Advertisement,Good hostel facilities and the mess food quality during our visit was satisfactory.,Interest,High Placement,192,Local,High Performer,Mixed,Very Close,Traditional,Positive
Erode,Female,Erode Public School,Private Matriculation,BC,Hindu,Management,Hostel,Friend Family Referral,Alumni working in good companies gave positive feedback about the college.,Interest,Become an Entrepreneur,188,Local,Average,Middle,Very Close,Referral,Positive
Bangalore,Male,DEF HSS Bangalore,Private Matriculation,BC,Hindu,Management,Day Scholar,Education Fair,Strong industry connections and practical learning approach attracted us to BIT.,Interest,Become an Entrepreneur,180,Metro,Below Average,Middle,Distant,Traditional,Neutral
Namakkal,Male,DEF HSS Namakkal,Private CBSE,BC,Christian,Government Counselling,Hostel,Google Search,The hostel facilities looked good during our campus visit and safety seemed adequate.,Counselling,Become an Entrepreneur,183,Regional,Average,Mixed,Distant,Digital,Positive
Dindigul,Female,ABC School Dindigul,Private Matriculation,OC,Hindu,Management,Hostel,School Counselor,The hostel option works well for our family situation.,Interest,Higher Studies Masters,191,Regional,High Performer,Middle,Distant,Referral,Neutral
Cuddalore,Male,ABC School Cuddalore,Private CBSE,MBC,Hindu,Management,Hostel,Friend Family Referral,Good value for money considering the quality of engineering programs offered.,Interest,Government Job,191,Regional,High Performer,Premium,Distant,Referral,Positive
Vellore,Male,Vellore CBSE School,Private CBSE,OC,Christian,Government Counselling,Hostel,Friend Family Referral,The hostel facilities looked good during our campus visit and safety seemed adequate.,Counselling,Higher Studies Masters,185,Regional,Average,Mixed,Distant,Referral,Positive
Erode,Female,GHI International School Erode,Private CBSE,OC,Christian,Management,Day Scholar,Education Fair,Erode location provides good balance of facilities without big city distractions.,Interest,Higher Studies Masters,183,Local,Average,Premium,Very Close,Traditional,Positive
Coimbatore,Female,CMPS School,Private CBSE,SC,Christian,Government Counselling,Day Scholar,Google Search,Erode location provides good balance of facilities without big city distractions.,Interest,Higher Studies Masters,194,Local,High Performer,Mixed,Close,Digital,Positive
Cuddalore,Female,Cuddalore CBSE School,Private CBSE,BCM,Muslim,Government Counselling,Hostel,Campus Visit,Good hostel facilities and the mess food quality during our visit was satisfactory.,Counselling,Higher Studies Masters,185,Regional,Average,Mixed,Distant,Other,Positive
Coimbatore,Male,Race Course HSS,Private Matriculation,MBC,Hindu,Management,Day Scholar,Campus Visit,We heard about BIT through campus visit and the reviews were positive.,Interest,High Placement,185,Local,Average,Middle,Close,Other,Neutral
Coimbatore,Female,Bharathi Park HSS,Private Matriculation,MBC,Christian,Management,Day Scholar,Campus Visit,Alumni working in good companies gave positive feedback about the college.,Interest,Start Own Business,175,Local,Below Average,Middle,Close,Other,Positive
Dindigul,Female,ABC School Dindigul,Private CBSE,MBC,Hindu,Management,Day Scholar,Alumni Reference,We decided to invest in management quota considering the ROI through placements.,Interest,High Placement,172,Regional,Below Average,Premium,Distant,Other,Neutral
Coimbatore,Male,Chettinad Vidyashram Coimbatore,Private CBSE,MBC,Christian,Management,Hostel,School Counselor,Good value for money considering the quality of engineering programs offered.,Interest,Start Own Business,176,Local,Below Average,Premium,Close,Referral,Positive
